"","Year","Value"
"526",192310,-0.03
"527",192311,0.2
"528",192312,0.12
"529",192401,-0.31
"530",192402,-0.16
"531",192403,-0.06
"532",192404,-0.2
"533",192405,-0.17
"534",192406,-0.14
"535",192407,-0.16
"536",192408,-0.19
"537",192409,-0.19
"538",192410,-0.2
"539",192411,-0.08
"540",192412,-0.35
"541",192501,-0.25
"542",192502,-0.27
"543",192503,-0.09
"544",192504,-0.05
"545",192505,-0.1
"546",192506,-0.17
"547",192507,-0.15
"548",192508,-0.08
"549",192509,0.03
"550",192510,-0.04
"551",192511,0.18
"552",192512,0.25
"553",192601,0.4
"554",192602,0.24
"555",192603,0.21
"556",192604,-0.13
"557",192605,-0.07
"558",192606,-0.07
"559",192607,-0.13
"560",192608,-0.06
"561",192609,-0.02
"562",192610,0.04
"563",192611,0.13
"564",192612,-0.13
"565",192701,-0.13
"566",192702,-0.13
"567",192703,-0.24
"568",192704,-0.18
"569",192705,-0.16
"570",192706,-0.14
"571",192707,0
"572",192708,-0.07
"573",192709,0.08
"574",192710,0.2
"575",192711,0.08
"576",192712,-0.32
"577",192801,0.14
"578",192802,0
"579",192803,-0.26
"580",192804,-0.29
"581",192805,-0.06
"582",192806,-0.23
"583",192807,-0.11
"584",192808,-0.17
"585",192809,-0.15
"586",192810,-0.06
"587",192811,0.02
"588",192812,-0.09
"589",192901,-0.63
"590",192902,-0.75
"591",192903,-0.11
"592",192904,-0.22
"593",192905,-0.19
"594",192906,-0.22
"595",192907,-0.23
"596",192908,-0.11
"597",192909,-0.12
"598",192910,-0.01
"599",192911,0
"600",192912,-0.64
"601",193001,-0.26
"602",193002,-0.15
"603",193003,0.14
"604",193004,-0.15
"605",193005,-0.18
"606",193006,-0.1
"607",193007,0.03
"608",193008,0.04
"609",193009,-0.01
"610",193010,0.12
"611",193011,0.3
"612",193012,0.13
"613",193101,0.04
"614",193102,-0.35
"615",193103,0.06
"616",193104,-0.15
"617",193105,-0.11
"618",193106,0.12
"619",193107,0.09
"620",193108,0.08
"621",193109,0.16
"622",193110,0.2
"623",193111,0.03
"624",193112,-0.01
"625",193201,0.37
"626",193202,-0.23
"627",193203,-0.23
"628",193204,0.08
"629",193205,-0.11
"630",193206,-0.09
"631",193207,-0.01
"632",193208,-0.05
"633",193209,0.1
"634",193210,0.09
"635",193211,-0.2
"636",193212,-0.15
"637",193301,-0.35
"638",193302,-0.42
"639",193303,-0.28
"640",193304,-0.21
"641",193305,-0.2
"642",193306,-0.18
"643",193307,-0.09
"644",193308,-0.13
"645",193309,-0.17
"646",193310,-0.11
"647",193311,-0.15
"648",193312,-0.48
"649",193401,-0.31
"650",193402,0.27
"651",193403,-0.27
"652",193404,-0.23
"653",193405,0.07
"654",193406,0.03
"655",193407,-0.03
"656",193408,-0.03
"657",193409,-0.14
"658",193410,0.03
"659",193411,0.2
"660",193412,0.12
"661",193501,-0.34
"662",193502,0.53
"663",193503,-0.01
"664",193504,-0.25
"665",193505,-0.21
"666",193506,-0.09
"667",193507,-0.01
"668",193508,-0.01
"669",193509,-0.01
"670",193510,0.12
"671",193511,-0.35
"672",193512,-0.16
"673",193601,-0.28
"674",193602,-0.42
"675",193603,-0.14
"676",193604,-0.08
"677",193605,0.01
"678",193606,0.07
"679",193607,0.14
"680",193608,0.06
"681",193609,0.1
"682",193610,0.05
"683",193611,0.09
"684",193612,0.15
